推,噓,分數,作者,標題,時間
10,75,-65,onetwogo (中國訊息報告工(正確版)),Re,Sun Aug 23 00:35:59 2020
2,0,2,kuangjc5566 (匡匡56),[問卦] 有沒有陳鈺琪的八卦？,Sun Aug 23 01:00:45 2020
15,1,14,LukeSkywaker (路克天醒者),[問卦] 現在學校畢業典禮還有唱周華健的朋友嗎？,Sun Aug 23 00:16:32 2020
6,1,5,ElizabethXIV (應許),[問卦] 寫遺書還讓大家都知道是什麼概念,Sun Aug 23 01:43:47 2020
8,0,8,takashi01 (中和孔劉),[問卦] 沒辦法幫帕瓦報仇了怎辦？？,Sun Aug 23 00:47:28 2020
2,2,0,words2012 (づ′・ω・),[問卦] 你們聽過最恐怖的鬼故事?,Sun Aug 23 01:32:53 2020
2,0,2,buzu (),[新聞] 豪雨大小落石擋路！男子冒雨搬除,Sun Aug 23 00:12:48 2020
11,8,3,shawnfu (差不多先生),[問卦] 現在年輕人還會用XD嗎,Sun Aug 23 03:56:35 2020
22,0,22,PrinceKanto (生田絵梨花は俺の嫁),Re,Sun Aug 23 00:41:35 2020
163,33,130,lovecyfen (lovecyfen),[問卦] 川爸是不是近五十年最威的美國總統?,Sun Aug 23 01:34:35 2020
92,0,92,PrinceKanto (生田絵梨花は俺の嫁),[問卦] 坂道系列現在最慘是哪一期?,Sun Aug 23 00:58:14 2020
29,5,24,zeff (Zeff),[問卦] 突然心情很差怎麼辦,Sun Aug 23 01:46:52 2020
6,10,-4,a6000200 (aa),[新聞] 女追男不成發生爭執　人夫喊冤：我都結婚,Sun Aug 23 01:08:12 2020
31,23,8,HANASUCIA (HANASUCIA),[新聞] 被批刻薄寡恩 柯文哲：沒有想到台灣會變,Sun Aug 23 08:02:54 2020
5,3,2,paulabxz123 (優文大師),[問卦] 慟！學妹說我是LKK！！！怎麼辦？,Sun Aug 23 00:07:22 2020
6,7,-1,aher2600 (和),"[問卦] 有種賭博,大家會不會有興趣?",Sun Aug 23 07:37:23 2020
9,2,7,kkk1234 (Marylin4life),[問卦] 各位手機充電會拆掉保護殼嗎,Sat Aug 22 23:53:39 2020
10,4,6,ian1107 (高雄姜大聲),[問卦] 陶喆哪首歌最經典?,Sun Aug 23 01:34:13 2020
27,26,1,disgusting (噁心的),[問卦] 美國真的打不贏中國,Sun Aug 23 00:21:35 2020
27,3,24,amoyui (clom),[問卦] 為啥台灣海軍不是最強??,Sun Aug 23 02:39:08 2020
8,1,7,s930406 (你啊罵),[問卦] 台酒三杯雞新口味也太難吃了吧,Sun Aug 23 04:09:08 2020
3,0,3,wuyiulin (機掰客家人),Re,Sun Aug 23 00:34:21 2020
2,0,2,miss80423 (自宅警備員),[問卦] 驚！AKB48 TTP要辦兩週年演唱了？,Sat Aug 22 23:56:02 2020
17,2,15,pp771017 (橫艾),[問卦] 邱淑貞是怎麼堅持不露點拍片的？,Sun Aug 23 06:44:10 2020
0,2,-2,damingli90 (子瑜的大腿<3),[問卦] 真的有人出門是為了看女生腿嗎？,Sun Aug 23 01:35:07 2020
1,2,-1,abc0312 (ABC),Re,Sun Aug 23 06:51:16 2020
4,0,4,huabandd (我是阿肥巴你頭),Re,Sun Aug 23 07:24:46 2020
4,4,0,aure0914 (tunik),Re,Sun Aug 23 00:55:39 2020
24,0,24,flower42 (栗悟飯與龜波功),[問卦] 世紀帝國哪個戰役最經典？,Sun Aug 23 01:48:42 2020
8,2,6,Xing97302 (幹古專用帳號粉絲),[問卦] 無法定義合法性專區 何不反其道而行,Sun Aug 23 00:59:44 2020
16,27,-11,AUTIS (Autis),[新聞] 柯文哲：台北如果普篩 全國跟著做就對了,Sun Aug 23 01:16:21 2020
8,1,7,zkow (逍遙山水憶秋年),[問卦] 現在社會對不正當男女關係接受度包容力高,Sun Aug 23 01:42:27 2020
14,2,12,cclemonmen (cclemon),[問卦] 山雞在古惑仔各集最帥的時候是啥時,Sun Aug 23 00:01:26 2020
4,2,2,u35k6 (漫畫),Re,Sun Aug 23 08:43:23 2020
4,2,2,badbadook (嗨浪),[問卦] drg是不是屌打s妹,Sun Aug 23 07:12:43 2020
0,18,-18,GreenBeret (綠扁帽),Re,Sun Aug 23 00:49:54 2020
24,7,17,ccf52881 (ccf52881),[新聞] 影／民眾黨多項選舉慘敗 柯文哲認光環失,Sun Aug 23 08:26:14 2020
8,5,3,boing747 (freedom￾N￼ ),Re,Sun Aug 23 03:39:30 2020
0,0,0,leavez (XD),Re,Sun Aug 23 00:35:32 2020
8,3,5,seysem (seysem),[新聞] 車拋錨！警幫停車　女駕駛：停車格會收費,Sun Aug 23 01:47:18 2020
1,0,1,toolmaster (工具人大師),[問卦] 人類是不是一定有近視？,Sun Aug 23 08:30:43 2020
1,2,-1,Tacohan (台南彭于晏),[問卦] 回憶跟錢 都幾,Sun Aug 23 00:39:11 2020
4,0,4,herman5202 (李白),Re,Sun Aug 23 08:38:13 2020
5,1,4,WeiU (微，Ｕ文),[問卦] 會在ktv吸菸的都哪種人????,Sun Aug 23 00:31:54 2020
9,2,7,w510048 (黨的恩情比山高),[問卦] 人形兵器為何這麼難以駕駛?,Sun Aug 23 01:06:09 2020
